player,salary,season_start,season_end,tm,year_cap,percent_of_cap,age,team,league,pos,g,gs,mp,fgm,fga,fg_perc,3pm,3pa,3p_perc,2pm,2pa,2p_perc,efg,ftm,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,ts,3par,ftr,orb_perc,drb_perc,trb_perc,ast_perc,stl_perc,blk_perc,tov_perv,usg_perc,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp
A.C. Green,1750000,1990,1991,LAL,11871000,0.147418078,27,LAL,NBA,PF,82,21,26.4,3.1,6.6,0.476,0.1,0.7,0.2,3,5.9,0.507,0.486,2.7,3.7,0.738,2.5,3.8,6.3,0.9,0.7,0.3,1.2,1.4,9.1,13.8,0.556,0.101,0.557,11.3,16.2,13.8,4.5,1.4,0.6,12.8,15.6,3.2,2.9,6.1,0.135,0,0.6,0.5,0.1
A.C. Green,1750000,1991,1992,LAL,12500000,0.14,28,LAL,NBA,PF,82,53,35.4,4.7,9.8,0.476,0.1,0.7,0.214,4.5,9.1,0.495,0.483,4.1,5.6,0.744,3.7,5.6,9.3,1.4,1.1,0.4,1.4,1.7,13.6,16.7,0.556,0.07,0.569,11.8,18.2,14.9,6,1.6,0.8,10,16.8,5.8,2.9,8.8,0.145,1.2,0.2,1.4,0.4
A.C. Green,1750000,1992,1993,LAL,14000000,0.125,29,LAL,NBA,PF,82,55,34.4,4.6,8.6,0.537,0.2,0.6,0.348,4.4,8,0.55,0.548,3.4,4.6,0.739,3.5,5.2,8.7,1.4,1.1,0.5,1.4,1.8,12.8,16.3,0.603,0.065,0.531,11.5,17.3,14.4,5.9,1.6,0.9,11.8,15,6.1,2.6,8.6,0.147,1.6,0.5,2.1,1.1
A.C. Green,1885000,1993,1994,PHO,15175000,0.124217463,30,PHO,NBA,PF,82,55,34.5,5.7,11.3,0.502,0.1,0.4,0.229,5.6,10.9,0.513,0.506,3.2,4.4,0.735,3.4,5.8,9.2,1.7,0.9,0.5,1.2,1.7,14.7,17,0.555,0.038,0.391,11.1,18.8,15,6.9,1.2,0.8,8.4,17.6,6.7,2.6,9.3,0.157,1.5,-0.3,1.2,0.6
A.C. Green,6472600,1994,1995,PHO,15964000,0.405449762,31,PHO,NBA,SF,82,52,32.8,3.8,7.5,0.504,0.5,1.5,0.339,3.3,6,0.547,0.539,3.1,4.2,0.732,2.4,5.8,8.2,1.5,0.7,0.4,1.4,1.8,11.2,14.2,0.596,0.206,0.556,8.3,20.4,14.3,6.5,1,0.8,12.9,14.2,4.6,2.1,6.7,0.12,0.6,0.2,0.7,-1.3
A.C. Green,6473000,1995,1996,PHO,23000000,0.281434783,32,PHO,NBA,SF,82,36,25.8,2.6,5.4,0.484,0.2,0.6,0.269,2.5,4.8,0.513,0.5,2,2.9,0.709,2,4.7,6.8,0.9,0.5,0.3,1,1.7,7.5,12.9,0.558,0.117,0.534,9.2,20.9,15.2,4.9,1.1,0.8,12.6,13.2,2.7,1.7,4.4,0.1,-1.1,-0.3,-1.4,-0.4
A.C. Green,4851000,1996,1997,DAL,24363000,0.19911341,33,TOT,NBA,PF,83,73,30,2.8,5.8,0.483,0,0.2,0.05,2.8,5.6,0.502,0.485,1.5,2.4,0.65,2.7,5.2,7.9,0.8,0.8,0.2,0.9,1.7,7.2,12.4,0.523,0.041,0.407,10.2,20.5,15.3,4.4,1.5,0.5,11.5,11.8,2.4,2.4,4.8,0.093,-1.8,0.7,-1.1,-0.3
A.C. Green,5125088,1998,1999,DAL,30000000,0.170836267,35,DAL,NBA,PF,50,35,18.5,2.2,5.1,0.422,0,0.2,0,2.2,5,0.435,0.422,0.6,1,0.577,1.6,2.9,4.6,0.5,0.6,0.2,0.4,1.4,4.9,12.5,0.441,0.031,0.203,9.9,17.8,13.9,4.5,1.6,0.6,6.4,14.8,0.7,0.7,1.4,0.074,-1.9,-0.9,-2.8,-0.5
A.C. Green,1700000,1999,2000,LAL,34000000,0.05,36,LAL,NBA,PF,82,82,23.5,2.1,4.7,0.447,0,0,0.25,2.1,4.7,0.449,0.448,0.8,1.2,0.695,2,4,5.9,1,0.6,0.2,0.6,1.5,5,11.2,0.482,0.01,0.245,9,17.9,13.5,5.9,1.4,0.7,11,11,1.7,3.3,5,0.124,-2,1.8,-0.2,-0.3
A.C. Green,2250000,2000,2001,MIA,35500000,0.063380282,37,MIA,NBA,PF,82,1,17.2,1.8,4,0.444,0,0.1,0,1.8,3.9,0.453,0.444,1,1.4,0.712,1.3,2.5,3.8,0.5,0.4,0.1,0.5,1.5,4.5,11.2,0.492,0.019,0.343,9,17.3,13.2,4.8,1.2,0.4,10.8,14.4,1.1,2.1,3.2,0.11,-3.2,0.2,-3,0
A.J. Bramlett,118974,1999,2000,CLE,34000000,0.003499235,23,CLE,NBA,C,8,0,7.6,0.5,2.6,0.19,0,0,0,0.5,2.6,0.19,0.19,0,0,0,1.5,1.3,2.8,0,0.1,0,0.4,1.6,1,-0.4,0.19,0,0,21.7,18.5,20.1,0,0.8,0,12.5,17.1,-0.2,0.1,-0.2,-0.129,-10.5,-6.3,-16.8,0.3
A.J. English,275000,1990,1991,WAS,11871000,0.023165698,23,WSB,NBA,SG,70,12,20.6,3.6,8.2,0.439,0,0.4,0.097,3.5,7.7,0.458,0.441,1.6,2.2,0.707,0.9,1.2,2.1,2.5,0.4,0.2,1.6,1.8,8.8,10.6,0.48,0.054,0.274,5,6.2,5.6,18,0.9,0.6,15.1,21.8,-0.5,0.7,0.2,0.008,-2.5,-2.3,-4.8,0.9
A.J. English,325000,1991,1992,WAS,12500000,0.026,24,WSB,NBA,SG,81,6,20.6,4.5,10.4,0.433,0.1,0.4,0.176,4.4,10,0.443,0.436,1.8,2.2,0.841,0.9,1.2,2.1,1.8,0.4,0.1,1.1,2,10.9,12.5,0.48,0.04,0.208,4.8,6.3,5.5,13.7,0.9,0.3,8.8,25.6,0.1,0.7,0.9,0.025,-2,-3.4,-5.4,1
A.J. Guyton,316969,2000,2001,CHI,35500000,0.008928704,22,CHI,NBA,PG,33,8,19.1,2.4,5.8,0.406,0.8,2.1,0.391,1.5,3.7,0.415,0.477,0.5,0.5,0.833,0.3,0.8,1.1,1.9,0.3,0.2,0.7,1.1,6,10.3,0.495,0.359,0.094,1.8,5.1,3.4,18.1,0.8,0.6,10.7,16.5,0.4,-0.1,0.3,0.02,-1.5,-4.4,-5.9,1.4
A.J. Guyton,465850,2001,2002,CHI,42500000,0.010961176,23,CHI,NBA,PG,45,6,13.5,2,5.4,0.361,1,2.7,0.374,0.9,2.7,0.347,0.455,0.5,0.6,0.815,0.3,0.7,1,1.8,0.2,0.2,0.8,0.5,5.4,11.8,0.477,0.504,0.111,2.3,6.3,4.2,23.6,0.9,0.9,12.6,22.2,0,0,0.1,0.006,-0.3,-4.4,-4.7,0.4
A.J. Guyton,18748,2002,2003,GSW,40271000,0.000465546,24,GSW,NBA,PG,2,0,4.5,0,2,0,0,0.5,0,0,1.5,0,0,0,0,0,0,0,0,1,0.5,0,0.5,0,0,-9,0,0.25,0,0,0,0,28.7,5.7,0,20,23.6,-0.1,0,-0.1,-0.45,-16.4,-6,-22.4,0.4
A.J. Hammons,650000,2016,2017,DAL,94143000,0.00690439,24,DAL,NBA,C,18,0,5.7,0.7,1.6,0.429,0.3,0.5,0.556,0.4,1.1,0.368,0.518,0.2,0.7,0.333,0.3,1.2,1.5,0.1,0.1,0.5,0.3,0.8,1.8,11,0.496,0.321,0.429,6.5,25,15.3,3.1,0.5,7.9,13.1,17.6,-0.1,0.2,0.1,0.042,-6.4,2,-4.4,1.8
A.J. Price,457588,2009,2010,IND,57700000,0.007930468,23,IND,NBA,PG,56,2,15.4,2.6,6.3,0.41,1.1,3.1,0.345,1.5,3.2,0.472,0.494,1.1,1.3,0.8,0.2,1.4,1.6,1.9,0.6,0.1,1.1,0.9,7.3,14,0.53,0.492,0.212,1.5,9.7,5.6,20.5,2,0.2,13.2,22.7,0.4,0.8,1.2,0.065,0.2,-2,-1.8,-0.2
A.J. Price,762195,2010,2011,IND,58044000,0.013131331,24,IND,NBA,PG,50,0,15.9,2.3,6.4,0.356,0.8,3,0.275,1.5,3.4,0.427,0.42,1.1,1.6,0.667,0.3,1.1,1.4,2.2,0.6,0,1.1,1.2,6.5,10.7,0.454,0.466,0.253,2.3,7.8,5,22.7,1.8,0.1,13,22.7,-0.4,0.7,0.3,0.02,-1.1,-2.3,-3.4,-0.5
A.J. Price,854389,2011,2012,IND,58044000,0.014719678,25,IND,NBA,PG,44,1,12.9,1.3,4,0.339,0.6,2,0.295,0.8,2,0.384,0.414,0.6,0.8,0.8,0.3,1.1,1.4,2,0.5,0,0.7,0.7,3.9,11.5,0.454,0.506,0.201,2.6,9.4,6,23.9,1.9,0.3,14.5,17.7,0.2,0.5,0.7,0.063,-0.2,-1.7,-1.9,0.5
